Districts,Capital,Total_Population,Male,Female,Ages_0_14_total,Ages_0_14_male,Ages_0_14_female,Ages_15_64_total,Ages_15_64_male,Ages_15_64_female,Ages_65_+_total,Ages_65_+_male,Ages_65_+_female,Region
Abura-Asebu-Kwamankese,Abora Dunkwa,117185,55275,61910,47524,24047,23477,61931,28400,33531,7730,2828,4902,Central
Accra Metropolis,Accra,1848614,887673,960941,531719,261566,270153,1243884,593987,649897,73011,32120,40891,Greater Accra
Ablekuma Central,Adaklu Waya,268424,128678,139746,79256,39114,40142,178254,84651,93603,10914,4913,6001,Greater Accra
Ablekuma North,Fomena,197024,94280,102744,58528,28720,29808,131662,62543,69119,6834,3017,3817,Greater Accra
Adaklu Anyigbe,New Edubiase,64404,31298,33106,23769,11941,11828,36758,17682,19076,3877,1675,2202,Volta
Adansi North,Agona,107091,53055,54036,45205,23352,21853,56783,27484,29299,5103,2219,2884,Ashanti
Adansi South,Kumawu,115378,58039,57339,49404,25357,24047,60654,30124,30530,5320,2558,2762,Ashanti
Adenta Municipal,Nsaba,78215,39366,38849,24584,12184,12400,51760,26340,25420,1871,842,1029,Greater Accra
Okai Koi North,Tepa,228271,110681,117590,69153,34071,35082,151575,73124,78451,7543,3486,4057,Greater Accra
Afigya Kwabre,Mankranso,136140,66350,69790,55699,28554,27145,74732,35516,39216,5709,2280,3429,Ashanti
Afigya Sekyere,Agona,94009,44691,49318,38034,19581,18453,50524,23014,27510,5451,2096,3355,Ashanti
Agona East,Ajumako,85920,41035,44885,35368,18013,17355,45362,20926,24436,5190,2096,3094,Central
Agona West Municipal,Ave Dakpa,115358,54159,61199,44659,22632,22027,64405,29114,35291,6294,2413,3881,Central
Okai Koi South,Akropong,121718,58592,63126,34021,16740,17281,82690,39710,42980,5007,2142,2865,Greater Accra
Ahafo Ano North,Aburi,94285,47956,46329,38695,19951,18744,51193,25725,25468,4397,2280,2117,Ashanti
Ahafo Ano South,Jacobu,121659,61745,59914,52325,27046,25279,63760,32102,31658,5574,2597,2977,Ashanti
Ahanta West,Bekwai,106215,50999,55216,44014,22157,21857,57520,27080,30440,4681,1762,2919,Western
Ajumako-Enyan-Essiam,Manso Nkwanta,138046,64418,73628,57924,30038,27886,69801,30652,39149,10321,3728,6593,Central
Akatsi,Dadieso,128461,59165,69296,48402,24574,23828,69526,31025,38501,10533,3566,6967,Volta
Ashiedu Keteke,Agogo,117525,55165,62360,32410,15911,16499,80362,37432,42930,4753,1822,2931,Greater Accra
Akwapem North,Juaso,136483,64028,72455,50029,25468,24561,75289,34557,40732,11165,4003,7162,Eastern
Akwapem South Municipal,Breman Asikuma,123501,60907,62594,43588,22084,21504,73551,36216,37335,6362,2607,3755,Eastern
Akyem Mansa,Assin Fosu,97374,48003,49371,41033,21164,19869,50807,24459,26348,5534,2380,3154,Eastern
Amansie Central,Nsuaem Kyekyewere,90741,45275,45466,38964,20028,18936,46567,22937,23630,5210,2310,2900,Ashanti
Amansie West,Goaso,134331,67485,66846,55450,28491,26959,72645,36478,36167,6236,2516,3720,Ashanti
Aowin/Suaman,Kukuom,138415,71908,66507,56262,28765,27497,78055,40912,37143,4098,2231,1867,Western
Asante Akim North Municipa,Atimpoku,140694,67673,73021,55587,28226,27361,77682,36463,41219,7425,2984,4441,Ashanti
Oforikrom,Kenyase,303016,149827,153189,97600,48770,48830,194862,96460,98402,10554,4597,5957,Ashanti
Asante Akim South,Atebubu,117245,57951,59294,48814,25144,23670,61520,29880,31640,6911,2927,3984,Ashanti
Ashaiman Municipal,Kwabeng,190972,93727,97245,60863,29798,31065,125554,61605,63949,4555,2324,2231,Greater Accra
Asikuma-Odoben Brakwa,Foase,112706,54293,58413,48906,25215,23691,57675,26591,31084,6125,2487,3638,Central
Asokwa,Nyinahin,140161,66786,73375,47610,23626,23984,87718,41140,46578,4833,2020,2813,Ashanti
Assin North Municipal,Kasoa,161341,80254,81087,67668,34857,32811,86784,42235,44549,6889,3162,3727,Central
Assin South,Bawku,104244,50936,53308,44839,22943,21896,53896,25662,28234,5509,2331,3178,Central
Asunafo North Municipal,Zebilla,124685,62854,61831,52193,26761,25432,67719,33727,33992,4773,2366,2407,Brong Ahafo
Asunafo South,Berekum,95580,48836,46744,40775,20863,19912,50948,26006,24942,3857,1967,1890,Brong Ahafo
Asuogyaman,Debiso,98046,47030,51016,36621,18532,18089,55752,26190,29562,5673,2308,3365,Eastern
Asutifi,Bekwai,105843,55046,50797,41336,21282,20054,60257,31684,28573,4250,2080,2170,Brong Ahafo
Asawase,New Abirem,312258,149170,163088,108931,54297,54634,190391,89215,101176,12936,5658,7278,Ashanti
Atebubu Amantin,Swedru,105938,53674,52264,45583,23455,22128,55919,28103,27816,4436,2116,2320,Brong Ahafo
Atiwa,Bole,110622,54671,55951,44111,22794,21317,59386,28836,30550,7125,3041,4084,Eastern
Atwima Kwanwoma,Bolgatanga,90634,43792,46842,36874,18572,18302,50133,23878,26255,3627,1342,2285,Ashanti
Atwima Mponua,Bongo,119180,61090,58090,51008,26242,24766,62802,32272,30530,5370,2576,2794,Ashanti
Atwima Nwabiagya,Kuntanase,149025,71948,77077,57862,29039,28823,85733,40720,45013,5430,2189,3241,Ashanti
Ayawaso Central,Sandema,142322,68390,73932,39264,19008,20256,97322,46765,50557,5736,2617,3119,Greater Accra
Ayawaso East,Bunkpurugu,183498,88235,95263,52269,25310,26959,122889,58845,64044,8340,4080,4260,Greater Accra
Ayawaso West Wogon,Cape Coast,70667,37065,33602,14109,6994,7115,54442,28991,25451,2116,1080,1036,Greater Accra
Subin,Buipe,174004,81475,92529,53043,26320,26723,113490,52135,61355,7471,3020,4451,Ashanti
Bawku Municipal,Ada Foah,217791,104382,113409,92950,47999,44951,109773,49989,59784,15068,6394,8674,Upper East
Bawku West,Sege,94034,45114,48920,42454,22071,20383,45078,20241,24837,6502,2802,3700,Upper East
Bekwai Municipal,Wamfie,118024,55615,62409,48259,24308,23951,62125,28419,33706,7640,2888,4752,Ashanti
Berekum Municipal,Kibi,129628,59869,69759,49185,24926,24259,74167,32748,41419,6276,2195,4081,Brong Ahafo
Bia,Salaga,116332,60090,56242,48378,24849,23529,64711,33404,31307,3243,1837,1406,Western
Nhyiaeso,Gambaga,134488,64858,69630,43461,21588,21873,86219,41200,45019,4808,2070,2738,Ashanti
Biakoye,Ejisu,65901,33057,32844,26484,13782,12702,35725,17690,18035,3692,1585,2107,Volta
Kwadaso,Ejura,251215,119111,132104,86550,42899,43651,156109,72846,83263,8556,3366,5190,Ashanti
Birim Municipal,Begoro,144869,69304,75565,56515,28585,27930,81453,37850,43603,6901,2869,4032,Eastern
Birim North,Abokobi,78907,39572,39335,31451,16192,15259,43416,21604,21812,4040,1776,2264,Eastern
Birim South,Amasaman,119767,57981,61786,48017,24655,23362,64477,30397,34080,7273,2929,4344,Eastern
Old Tafo,Garu,146024,69551,76473,51179,25331,25848,89752,42129,47623,5093,2091,3002,Ashanti
Bole,Afransie,61593,31022,30571,26467,13688,12779,32223,15963,16260,2903,1371,1532,Northern
Bolgatanga Municipal,Gushiegu,131550,62783,68767,48637,24624,24013,75930,35434,40496,6983,2725,4258,Upper East
