District,Capital,Total_Population,Male,Female,Region
Abura-Asebu-Kwamankese,Abora Dunkwa,117185,55275,61910,CENTRAL
Accra,Accra,1665086,800935,864151,GREATER ACCRA
Adaklu Anyigbe,Adaklu Waya,29948,14510,15438,VOLTA
Adansi North,Fomena,107091,53055,54036,ASHANTI
Adansi South,New Edubiase,115378,58039,57339,ASHANTI
Afigya Sekyere,Agona,94009,44691,49318,ASHANTI
Afram Plains,Kumawu,65402,30981,34421,ASHANTI
Agona,Nsaba,85920,41035,44885,CENTRAL
Ahafo Ano North,Tepa,94285,47956,46329,ASHANTI
Ahafo Ano South,Mankranso,121659,61745,59914,ASHANTI
Ahanta West,Agona,106215,50999,55216,WESTERN
Ajumako-Enyan-Esiam,Ajumako,138046,64418,73628,CENTRAL
Akatsi,Ave Dakpa,33035,15126,17909,VOLTA
Akwapim North,Akropong,136483,64028,72455,EASTERN
Akwapim South,Aburi,37501,18174,19327,EASTERN
Amansie Central,Jacobu,90741,45275,45466,ASHANTI
Amansie East,Bekwai,118024,55615,62409,ASHANTI
Amansie West,Manso Nkwanta,134331,67485,66846,ASHANTI
Aowin-Suaman,Dadieso,117886,61262,56624,WESTERN
Asante Akim North,Agogo,69186,33731,35455,ASHANTI
Asante Akim South,Juaso,117245,57951,59294,ASHANTI
Asikuma Odoben Brakwa,Breman Asikuma,112706,54293,58413,CENTRAL
Assin North,Assin Fosu,161341,80254,81087,CENTRAL
Assin South,Nsuaem Kyekyewere,104244,50936,53308,CENTRAL
Asunafo North,Goaso,124685,62854,61831,BRONG AHAFO
Asunafo South,Kukuom,95580,48836,46744,BRONG AHAFO
Asuogyaman,Atimpoku,98046,47030,51016,EASTERN
Asutifi,Kenyase,52259,26761,25498,BRONG AHAFO
Atebubu-Amantin,Atebubu,105938,53674,52264,BRONG AHAFO
Atiwa,Kwabeng,110622,54671,55951,EASTERN
Atwima,Foase,90634,43792,46842,ASHANTI
Atwima Mponua,Nyinahin,119180,61090,58090,ASHANTI
Awutu Efutu Senya,Kasoa,108422,52197,56225,CENTRAL
Bawku Municipal,Bawku,98096,47059,51037,UPPER EAST
Bawku West,Zebilla,94034,45114,48920,UPPER EAST
Berekum,Berekum,129628,59869,69759,BRONG AHAFO
Bia,Debiso,27393,14373,13020,WESTERN
Bibiani Anhwiaso Bekwai,Bekwai,118024,55615,62409,ASHANTI
Birim North,New Abirem,78907,39572,39335,EASTERN
Birim South,Swedru,119767,57981,61786,EASTERN
Bole,Bole,61593,31022,30571,NORTHERN
Bolgatanga,Bolgatanga,131550,62783,68767,UPPER EAST
Bongo,Bongo,84545,40084,44461,UPPER EAST
Bosomtwe-Kwanwoma,Kuntanase,93910,44793,49117,ASHANTI
Builsa,Sandema,56477,27792,28685,UPPER EAST
Bunkpurugu Yunyoo,Bunkpurugu,122591,60240,62351,NORTHERN
Cape Coast,Cape Coast,169894,82810,87084,CENTRAL
Central Gonja,Buipe,87877,43860,44017,NORTHERN
Dangbe East,Ada Foah,71671,34012,37659,GREATER ACCRA
Dangbe West,Sege,59124,28579,30545,GREATER ACCRA
Dormaa,Wamfie,50871,23970,26901,BRONG AHAFO
East Akim,Kibi,167896,81767,86129,EASTERN
East Gonja,Salaga,135450,69721,65729,NORTHERN
East Mamprusi,Gambaga,121009,59453,61556,NORTHERN
Ejisu-Juabeng,Ejisu,143762,68648,75114,ASHANTI
Ejura Sekyedumase,Ejura,85446,42892,42554,ASHANTI
Fanteakwa,Begoro,108614,54010,54604,EASTERN
Ga East,Abokobi,147742,72987,74755,GREATER ACCRA
Ga West,Amasaman,219788,107742,112046,GREATER ACCRA
Garu Tempane,Garu,130003,62025,67978,UPPER EAST
Gomoa,Afransie,207071,98323,108748,CENTRAL
Gushiegu,Gushiegu,111259,54186,57073,NORTHERN
Ho,Ho,177281,83819,93462,VOLTA
Hohoe,Hohoe,167016,79967,87049,VOLTA
Jaman North,Sampa,83059,39889,43170,BRONG AHAFO
Jaman South,Japekrom,92649,43459,49190,BRONG AHAFO
Jasikan,Jasikan,59181,29142,30039,VOLTA
Jirapa Lambussie,Jirapa,88402,41592,46810,UPPER WEST
Jomoro,Half Assini,150107,73561,76546,WESTERN
Juabeso,Juaboso,58435,29742,28693,WESTERN
Kadjebi,Kadjebi,59303,29951,29352,VOLTA
Karaga,Karaga,77706,37336,40370,NORTHERN
Kassena Nankana,Navrongo,109944,53676,56268,UPPER EAST
Keta,Keta,147618,68556,79062,VOLTA
Ketu,Dzodze,99913,46551,53362,VOLTA
Kintampo North,Kintampo,95480,47302,48178,BRONG AHAFO
Kintampo South,Jema,81000,42129,38871,BRONG AHAFO
Komenda-Edina-Eguafo-Abirem,Elmina,144705,69665,75040,CENTRAL
Kpandu,Kpando,53736,25904,27832,VOLTA
Krachi,Chinderi,72688,36649,36039,VOLTA
Krachi East,Dambai,116804,60730,56074,VOLTA
Kumasi,Kumasi,1730249,826479,903770,ASHANTI
Kwabibirem,Kade,113721,55746,57975,EASTERN
Kwabre,Mamponteng,115556,55106,60450,ASHANTI
Kwahu South,Atibie,69757,33094,36663,EASTERN
Kwahu West,Nkawkaw,93584,44875,48709,EASTERN
Lawra,Lawra,54889,26346,28543,UPPER WEST
Lower Denkyira,Twifo Hemang,55131,27370,27761,CENTRAL
Manya Krobo,Odumase,89246,41470,47776,EASTERN
Mfantsiman,Saltpound,144332,64923,79409,CENTRAL
Mpohor Wassa East,Mpohor,42923,21486,21437,WESTERN
Nadowli,Nadawli,61561,28753,32808,UPPER WEST
Nanumba North,Bimbilia,141584,69997,71587,NORTHERN
Nanumba South,Wulensi,93464,46776,46688,NORTHERN
New Juaben,Koforidua,183727,88687,95040,EASTERN
Nkoranza,Busunya,65895,33263,32632,BRONG AHAFO
Nkwanta,Kpasa,64553,32394,32159,VOLTA
North Tongu,Battor,89777,42492,47285,VOLTA
Nzema East,Axim,60828,29947,30881,WESTERN
Obuasi Municipal,Obuasi,168641,81015,87626,ASHANTI
Offinso,Offinso,76895,37068,39827,ASHANTI
Pru,Yeji,129248,65832,63416,BRONG AHAFO
Saboba Chereponi,Saboba,65706,32320,33386,NORTHERN
Savelugu Nanton,Savelugu,139283,67531,71752,NORTHERN
Sawa-Tuna-Kalba,Sawla,99863,48269,51594,NORTHERN
Sefwi Wiawso,Sefwi Wiawso,139200,69753,69447,WESTERN
Sekyere East,Nsuta,71232,35225,36007,ASHANTI
Sekyere West,Effiduase,62172,29511,32661,ASHANTI
Sene,Kajaji,61076,32211,28865,BRONG AHAFO
Shama Ahanta East,Shama,81966,38704,43262,WESTERN
Sissala East,Tumu,56528,27503,29025,UPPER WEST
Sissala West,Gwollu,49573,24151,25422,UPPER WEST
South Dayi,Kpeve,46661,22132,24529,VOLTA
South Tongu,Sogakope,87950,40019,47931,VOLTA
Suhum Kraboa Coaltar,Suhum,90358,43962,46396,EASTERN
Sunyani,Sunyani,123224,61610,61614,BRONG AHAFO
