Region,Capital,Total_Population,Male,Female,Ages_0_14 ,Ages_15_64 years,Ages_65_+
Ashanti,Kumasi,4780380,2316052,2464328,1803918,2772001,204461
Brong Ahafo,Sunyani,2310983,1145271,1165712,932691,1274474,103818
Central,Cape Coast,2201863,1050112,1151751,871834,1213660,116369
Eastern,Koforidua,2633154,1290539,1342615,1011054,1471312,150788
Greater Accra,Accra,4010054,1938225,2071829,1253632,2614312,142110
Upper West,Wa,702110,341182,360928,292698,367065,42347
Upper East,Bolgatanga,1046545,506405,540140,434619,540345,71581
Northern,Tamale,2479461,1229887,1249574,1110613,1260064,108784
Volta,Ho,2118252,1019398,1098854,812825,1168070,137357
Western,Sekondi Takoradi,2376021,1187774,1188247,926514,1359590,89917
